Symbol,SECURITY_ID
HPL,18679
HSCL,14334
HUBTOWN,14203
HUDCO,20825
HUHTAMAKI,2562
HYUNDAI,25844
ICEMAKE,489
ICICIBANK,4963
ICICIGI,21770
ICICIPRULI,18652
ICIL,11987
ICRA,14523
IDBI,1476
IDEA,14366
IDEAFORGE,17140
IDFCFIRSTB,11184
IEX,220
IFBIND,1485
IFCI,1491
IFGLEXPOR,436
IGARASHI,634
IGIL,28378
IGL,11262
IGPL,14086
IIFL,11809
IIFLCAPS,13072
IITL,19525
IKIO,16822
IKS,28125
IMAGICAA,7672
IMFA,19235
IMPAL,12009
INDGN,23693
INDHOTEL,1512
INDIACEM,1515
INDIAGLYCO,1521
INDIAMART,10726
INDIANB,14309
INDIANHUME,1530
INDIASHLTR,20556
INDIGO,11195
INDIGOPNTS,2048
INDNIPPON,4747
INDOAMIN,9116
INDOBORAX,8614
INDOCO,11677
INDOFARM,29025
INDORAMA,10993
INDOSTAR,3088
INDOTECH,13275
INDOTHAI,25612
INDRAMEDCO,4751
INDSWFTLAB,4870
INDUSINDBK,5258
INDUSTOWER,29135
INFIBEAM,16249
INFOBEAN,11027
INFY,1594
INGERRAND,1597
INNOVACAP,21062
INNOVANA,27754
INOXGREEN,12188
INOXINDIA,20607
INOXWIND,7852
INSECTICID,14657
INTELLECT,5926
INTERARCH,24909
IOB,9348
IOC,1624
IONEXCHANG,1630
IPCALAB,1633
IPL,4934
IRB,15313
IRCON,4986
IRCTC,13611
IREDA,20261
IRFC,2029
IRIS,6501
IRMENERGY,19597
ISEC,2489
ISGEC,3329
ITC,1660
ITCHOTELS,29251
ITDC,19299
ITDCEM,5622
ITI,5773
IWEL,3776
IXIGO,24067
J&KBANK,5633
JAGRAN,13211
JAGSNPHARM,4410
JAIBALAJI,11256
JAICORPLTD,5143
JAMNAAUTO,20778
JASH,13982
JAYAGROGN,4041
JAYBARMARU,1708
JAYNECOIND,2331
JBCHEPHARM,1726
JBMA,11655
JCHAC,4491
JGCHEM,23056
JINDALPHOT,11743
JINDALPOLY,1756
JINDALSAW,3024
JINDALSTEL,6733
JINDRILL,13875
JINDWORLD,20642
JIOFIN,18143
JISLJALEQS,10397
JITFINFRA,19695
JKCEMENT,13270
JKIL,15266
JKLAKSHMI,13491
JKPAPER,11860
JKTYRE,14435
JLHL,18553
JMFINANCIL,13637
JNKINDIA,23621
JPASSOCIAT,11461
JPOLYINVST,31507
JPPOWER,11763
JSFB,22663
JSL,11236
JSWENERGY,17869
JSWHL,11880
JSWINFRA,19020
JSWSTEEL,11723
JTEKTINDIA,3237
JTLIND,7287
JUBLCPL,29590
JUBLFOOD,18096
JUBLINGREA,2783
JUBLPHARMA,3637
JUNIPER,22824
JUSTDIAL,29962
JWL,20224
JYOTHYLAB,15146
JYOTICNC,21334
JYOTISTRUC,1802
KABRAEXTRU,1805
KAJARIACER,1808
KALAMANDIR,18755
KALYANKJIL,2955
KAMATHOTEL,1826
KANSAINER,1196
KARURVYSYA,1838
KAYNES,12092
KCP,1841
KDDL,14908
KEC,13260
KECL,18220
KEI,13310
KELLTONTEC,13430
KERNEX,13125
KFINTECH,13359
KHADIM,425
KICL,21119
KILITCH,19937
KIMS,4847
KINGFA,18944
KIOCL,19126
KIRIINDUS,16639
KIRLOSBROS,18581
KIRLOSENG,20936
KIRLOSIND,19025
KIRLPNU,15180
KITEX,28899
KKCL,13381
KMEW,27084
KNRCON,15283
KOKUYOCMLN,16827
KOLTEPATIL,15124
KOPRAN,1919
KOTAKBANK,1922
KOTHARIPET,4594
KPEL,27079
KPIGREEN,5108
KPIL,1814
KPITTECH,9683
KPRMILL,14912
KRBL,10577
KRISHANA,12847
KRN,25643
KRONOX,24025
KROSS,25252
KRSNAA,5359
KRYSTAL,23175
KSB,1949
KSCL,14972
KSL,18889
KTKBANK,8054
KUANTUM,13870
LALPATHLAB,11654
LANDMARK,13276
LAOPALA,14423
LATENTVIEW,6818
LAURUSLABS,19234
LAXMIDENTL,29171
LEMONTREE,2606
LGBBROSLTD,18321
LGHL,19872
LICHSGFIN,1997
LICI,9480
LIKHITHA,578
LINC,6951
LINCOLN,11596
LINDEINDIA,1627
LLOYDSENGG,17801
LLOYDSENT,25807
LLOYDSME,17313
LMW,1979
LODHA,3220
LT,11483
LTF,24948
LTFOODS,13816
LTIM,17818
LTTS,18564
LUMAXIND,2018
LUMAXTECH,14014
LUPIN,10440
LUXIND,11301
LXCHEM,2841
M&M,2031
M&MFIN,13285
M&MFIN,20050
MACPOWER,22349
MADRASFERT,4911
MAGADSUGAR,21392
MAHABANK,11377
MAHLIFE,8050
MAHLOG,385
MAHSCOOTER,2085
MAHSEAMLES,2088
MAITHANALL,24538
MALLCOM,7965
MAMATA,28687
MANAKCOAT,7417
MANALIPETC,13796
MANAPPURAM,19061
MANBA,25597
MANGCHEFER,15007
MANGLMCEM,2106
MANINDS,11884
MANINFRA,18226
MANKIND,15380
MANORAMA,10227
MANYAVAR,8167
MAPMYINDIA,7227
MARATHON,18659
MARICO,4067
MARINE,1334
MARKSANS,10579
MARUTI,10999
MASFIN,199
MASTEK,2124
MASTERTR,27047
MATRIMONY,21726
MAXESTATES,19646
MAXHEALTH,22377
MAXIND,22428
MAYURUNIQ,28906
MAZDOCK,509
MBAPL,12686
MCLOUD,29482
MCX,31181
MEDANTA,11956
MEDIASSIST,21705
MEDICAMEQ,6278
MEDPLUS,7254
MENONBE,6961
METROBRAND,7242
METROPOLIS,9581
MFSL,2142
MGL,17534
MHRIL,17333
MICEL,7169
MIDHANI,2463
MINDACORP,25897
MINDTECK,18049
MMFL,13844
MMP,16395
MMTC,17957
MOBIKWIK,28046
MOIL,20830
MOL,5394
MOLDTKPAC,6713
MONARCH,7679
MONTECARLO,5938
MOREPENLAB,2259
MOSCHIP,29459
MOTHERSON,25510
MOTHERSON,4204
MOTILALOFS,14947
